@relation newdata-weka.filters.unsupervised.attribute.NumericToNominal-R49

@attribute default numeric
@attribute housing numeric
@attribute loan numeric
@attribute deposit numeric
@attribute customerID numeric
@attribute job_admin numeric
@attribute job_blue-collar numeric
@attribute job_entrepreneur numeric
@attribute job_housemaid numeric
@attribute job_management numeric
@attribute job_retired numeric
@attribute job_self-employed numeric
@attribute job_services numeric
@attribute job_student numeric
@attribute job_technician numeric
@attribute job_unemployed numeric
@attribute marital_divorced numeric
@attribute marital_married numeric
@attribute marital_single numeric
@attribute education_primary numeric
@attribute education_secondary numeric
@attribute education_tertiary numeric
@attribute education_unknown numeric
@attribute contact_cellular numeric
@attribute contact_telephone numeric
@attribute contact_unknown numeric
@attribute month_apr numeric
@attribute month_aug numeric
@attribute month_dec numeric
@attribute month_feb numeric
@attribute month_jan numeric
@attribute month_jul numeric
@attribute month_jun numeric
@attribute month_mar numeric
@attribute month_may numeric
@attribute month_nov numeric
@attribute month_oct numeric
@attribute month_sep numeric
@attribute poutcome_failure numeric
@attribute poutcome_other numeric
@attribute poutcome_success numeric
@attribute poutcome_unknown numeric
@attribute age numeric
@attribute balance numeric
@attribute day numeric
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous {-0.362947,0.072558,0.508063,0.943569,1.379074,1.814579,2.250084,2.68559,3.121095,3.5566,3.992105,4.427611,4.863116,5.298621,5.734126,6.169632,6.605137,7.040642,7.476148,7.911653,8.347158,8.782663,9.218169,9.653674,10.96019,11.395695,11.8312,12.266705,12.702211,15.750748,17.057263,17.492769,23.589842,24.896358}

@data
0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.495502,0.253414,-1.266714,1.92752,-0.553952,-0.481437,-0.362947
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.243502,-0.45929,-1.266714,3.150669,-0.553952,-0.481437,-0.362947
0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.016502,-0.079367,-1.266714,2.926185,-0.553952,-0.481437,-0.362947
0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.159502,0.294663,-1.266714,0.595007,-0.553952,-0.481437,-0.362947
0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.075501,-0.41618,-1.266714,0.865539,-0.186286,-0.481437,-0.362947
0,1,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.067499,-0.473246,-1.266714,0.546081,-0.186286,-0.481437,-0.362947
0,1,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.243502,-0.215829,-1.147877,2.385122,-0.553952,-0.481437,-0.362947
0,1,0,1,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.579503,-0.30422,-1.147877,1.892984,-0.553952,-0.481437,-0.362947
0,1,0,1,8,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.352503,-0.472936,-1.147877,0.678469,-0.553952,-0.481437,-0.362947
0,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.108505,1.105371,-1.147877,2.661409,0.18138,-0.481437,-0.362947
0,1,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.268502,-0.442232,-1.029041,1.190753,-0.553952,-0.481437,-0.362947
0,1,0,1,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.940504,-0.377413,-1.029041,3.458615,-0.186286,-0.481437,-0.362947
0,1,1,1,12,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.024504,-0.411528,-1.029041,3.789584,0.549046,-0.481437,-0.362947
0,1,0,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.403499,-0.330582,-1.029041,2.1002,-0.186286,-0.481437,-0.362947
0,1,0,1,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.856504,-0.255217,-0.910204,1.642598,-0.186286,-0.481437,-0.362947
0,1,0,1,15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.520503,0.716764,-0.910204,2.048396,-0.553952,-0.481437,-0.362947
0,1,0,1,16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.772504,-0.28375,-0.910204,0.485643,0.18138,-0.481437,-0.362947
0,1,0,1,17,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6555,-0.475727,-0.910204,2.149126,-0.553952,-0.481437,-0.362947
0,1,0,1,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.016502,-0.456189,-0.910204,2.152004,-0.186286,-0.481437,-0.362947
0,1,1,1,19,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6555,-0.421143,-0.910204,0.405059,-0.553952,-0.481437,-0.362947
0,1,0,1,20,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.108505,-0.229786,-0.910204,0.200722,-0.186286,-0.481437,-0.362947
0,1,0,1,21,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.151499,0.167815,-0.910204,1.104413,-0.553952,-0.481437,-0.362947
0,1,0,1,22,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.151499,-0.352912,-0.910204,4.935027,-0.186286,-0.481437,-0.362947
0,1,0,1,23,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.151499,-0.532793,-0.910204,2.152004,-0.186286,-0.481437,-0.362947
0,1,0,1,24,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.352503,-0.355083,-0.910204,1.763474,-0.186286,-0.481437,-0.362947
0,1,0,1,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.520503,-0.460841,-0.791368,0.704371,0.549046,-0.481437,-0.362947
0,1,0,1,26,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.856504,-0.466423,-0.791368,0.31872,0.18138,-0.481437,-0.362947
0,1,0,1,27,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.151499,-0.472316,-0.791368,1.602306,0.18138,-0.481437,-0.362947
0,1,0,1,28,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.856504,-0.378033,-0.791368,0.477009,-0.553952,-0.481437,-0.362947
0,1,0,1,29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.108505,-0.237849,-0.791368,0.972025,-0.553952,-0.481437,-0.362947
1,1,0,1,30,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.772504,-0.473556,-0.791368,0.807979,-0.553952,-0.481437,-0.362947
0,1,0,1,31,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.579503,-0.453087,-0.791368,1.887228,-0.186286,-0.481437,-0.362947
0,1,0,1,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.276505,-0.447815,-0.791368,0.810857,-0.553952,-0.481437,-0.362947
0,1,0,1,33,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.100502,-0.470145,-0.791368,3.798218,-0.186286,-0.481437,-0.362947
0,1,0,1,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.688503,-0.352291,-0.791368,0.842515,-0.186286,-0.481437,-0.362947
0,0,0,1,35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.772504,-0.376793,-0.434859,1.107291,-0.186286,-0.481437,-0.362947
0,0,0,1,36,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.520503,-0.344848,-0.316022,0.379157,0.549046,-0.481437,-0.362947
0,1,0,1,37,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.688503,-0.471696,-0.316022,2.802431,-0.553952,-0.481437,-0.362947
0,1,0,1,38,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.268502,-0.43634,-0.316022,0.563349,0.549046,-0.481437,-0.362947
0,1,0,1,39,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1.528506,-0.472006,-0.316022,0.065456,-0.186286,-0.481437,-0.362947
0,1,1,1,40,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1.579503,-0.081848,-0.316022,1.849814,-0.553952,-0.481437,-0.362947
0,1,0,1,41,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5715,0.131218,-0.316022,0.894319,-0.186286,-0.481437,-0.362947
0,1,0,1,42,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.319499,-0.595752,-0.316022,0.281306,-0.553952,-0.481437,-0.362947
0,1,0,1,43,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.436503,-0.111932,-0.316022,1.809522,0.549046,-0.481437,-0.362947
0,1,0,1,44,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.907501,0.221469,-0.316022,1.360555,-0.553952,-0.481437,-0.362947
0,1,0,1,45,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.520503,-0.380204,-0.316022,1.648354,-0.186286,-0.481437,-0.362947
0,1,0,1,46,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.151499,0.545567,-0.316022,3.88168,-0.186286,-0.481437,-0.362947
